	AA	AB	BB	AS	BS	SS_inter	SS_intra	AA_attr	BB_attr	lambda	d_S	d_AB	SS_attr	AB_compScore
43	1.2089661113738115	0.6147681481785731	0.9829775869378556	0.6434253605413804	0.9460679797372996	0.9861078498798106	0.9775221840347257	0.14	0.0	0	0	0	0	0.5619299865446941
44	1.2289373171695896	0.5893417386309187	1.0121075894156712	0.6667625022673714	0.9147140809717804	1.0404147488822153	0.9679403308996194	0.14	0.02	0	0	0	0	0.5835609671017891
45	1.2339279302234754	0.5578068768999678	1.1006416095836336	0.6748827600628036	0.8559042857977296	1.066861248952335	1.019876328412403	0.14	0.04	0	0	0	0	0.6142916435924881
46	1.283674271051584	0.5239056568160815	1.1453911092098126	0.7164535586647963	0.780275689336696	1.1311250032229598	1.0910078981731381	0.14	0.06	0	0	0	0	0.6451670874939667
47	1.2906372339756311	0.4905572895077623	1.235075707861667	0.7680178195199457	0.667128968605818	1.26642258155377	1.181493113748039	0.14	0.08	0	0	0	0	0.6747259019368398
48	1.294723107109719	0.4579642019723751	1.3351910058566152	0.8011410593536495	0.547098151338813	1.4729486600807398	1.2357352179793248	0.14	0.1	0	0	0	0	0.7033793723303081
49	1.327906079642634	0.42756488781656543	1.418564294776291	0.8331791674141835	0.43399361825904403	1.5837343647123816	1.304716492272009	0.14	0.12	0	0	0	0	0.7305859245461381
50	1.32880597706894	0.4055919688771502	1.476992772565902	0.8551485360851399	0.3748398407772932	1.6724775659362894	1.3188777266986589	0.14	0.14	0	0	0	0	0.7474041594882092
51	1.3534671740163402	0.3831340575594995	1.515176341403341	0.8859007041710911	0.3138094357370262	1.7473782051444373	1.3513185721972605	0.14	0.16	0	0	0	0	0.7643540808306372
52	1.297589465518868	0.5687411278594606	0.9978478821893804	0.5964967185475666	0.982418036169756	0.9997975191714806	1.0106110878136196	0.16	0.0	0	0	0	0	0.6028591565009018
53	1.325937699282319	0.5434585130077205	1.023175268892121	0.6254374516940122	0.940987296587926	1.0747103704015357	1.0132025822185993	0.16	0.02	0	0	0	0	0.6242384905311897
54	1.3390325321882308	0.5192812090591851	1.0827117095694734	0.6370220321517629	0.8951092576468662	1.089301158593107	1.0576370189589133	0.16	0.04	0	0	0	0	0.6468706458048833
55	1.3415447852709712	0.48784654542761097	1.1759114869784675	0.67126155396291	0.8005281718825101	1.164014113414662	1.1456844434068192	0.16	0.06	0	0	0	0	0.6753428356316572
56	1.3569852314739144	0.46700614478595615	1.235642391816309	0.7136485258389181	0.6955120673111836	1.3140389825219465	1.185430982094255	0.16	0.08	0	0	0	0	0.6947306898893342
57	1.3647541062386432	0.43144233715305763	1.3474127607657547	0.7431500866204718	0.562730966180559	1.5623612258963648	1.25638035942766	0.16	0.1	0	0	0	0	0.7255114684214116
58	1.3902391374162082	0.40439307902920235	1.4294616330156347	0.7780867642221205	0.4543624451333703	1.638352399533105	1.3632535299316004	0.16	0.12	0	0	0	0	0.7491431094061962
59	1.4073891825918372	0.3920409920216318	1.484655299066644	0.7957161841163372	0.37045139467105215	1.7167349836101171	1.3834291986395575	0.16	0.14	0	0	0	0	0.761247997250014
60	1.3989570796671982	0.5255039804489796	1.0127744860014731	0.568017179227548	0.9853012851055337	1.016861867308539	1.0368899633864523	0.18	0.0	0	0	0	0	0.6421778422615273
61	1.4095987777633219	0.5033570580668013	1.0442261134262507	0.5950629793178662	0.9503188311965308	1.074527012489355	1.066775795667734	0.18	0.02	0	0	0	0	0.6595697750736117
62	1.4121581027099483	0.48966669107680916	1.1073788241407745	0.6026914288663027	0.8852151172743328	1.1286736600833156	1.0934270082034485	0.18	0.04	0	0	0	0	0.6745539662656345
63	1.4313861489136972	0.46188959914101035	1.1487692876511348	0.6276981969487997	0.8404300632223535	1.2089847135933034	1.1548491989039322	0.18	0.06	0	0	0	0	0.6963295456052716
64	1.427241742737316	0.4376662749599374	1.262175200152702	0.6583803246780182	0.7057791749953178	1.3465658364138748	1.2557324919548103	0.18	0.08	0	0	0	0	0.7200801868900326
65	1.4296354759431165	0.4089152297899404	1.3543982202221887	0.7036790809289188	0.580380268539808	1.5347295761340822	1.340611867101347	0.18	0.1	0	0	0	0	0.7438635948944258
66	1.455738606909688	0.39261201757182845	1.4284167365939624	0.7142104764071521	0.46697413608022836	1.711157698515941	1.3772569845070846	0.18	0.12	0	0	0	0	0.7603662547206476
67	1.477274785173569	0.3713931650763096	1.502883604123319	0.7381864363055137	0.36653311717239456	1.7956909846522595	1.4241559653697724	0.18	0.14	0	0	0	0	0.7783753828332399
68	1.4716088577743685	0.49087765549940454	1.009919748731224	0.5407378060623165	1.0129725534902496	1.0594185739587347	1.0588338324040558	0.2	0.0	0	0	0	0	0.6697102534239116
69	1.4663543212843926	0.4719396899206308	1.04026728730824	0.5585172493266585	0.9894601473452069	1.1412424653628315	1.1016619781326988	0.2	0.02	0	0	0	0	0.6831089626013757
70	1.50676829443893	0.4627647441124194	1.0959821996166192	0.5704721187327447	0.9047964394113158	1.1020499998119713	1.1500488862697253	0.2	0.04	0	0	0	0	0.6980835467065044
71	1.5131371834490779	0.4392037536971749	1.1636774561406447	0.5941798430728867	0.8226030825776035	1.2338845982331867	1.2234993583464142	0.2	0.06	0	0	0	0	0.7180993830823408
72	1.509258421608088	0.41643440442881546	1.2491409588894031	0.6181917267325642	0.7189525050748595	1.4050936938412584	1.2849352525328772	0.2	0.08	0	0	0	0	0.7376653817872347
73	1.5240385333913922	0.3926814784785164	1.3615179654459904	0.6391078144387561	0.576630308891615	1.5601299245739129	1.3501637817326766	0.2	0.1	0	0	0	0	0.7604313773461745
74	1.539498887180517	0.3734519401366607	1.436944588626399	0.6598363120558948	0.4717903777125843	1.696532692314577	1.3702856547718547	0.2	0.12	0	0	0	0	0.7770366571092076
75	1.5455782506974927	0.35565569375402317	1.499326219522149	0.6868563999975733	0.37935606055825094	1.8639502249372253	1.3949639900443263	0.2	0.14	0	0	0	0	0.7908252307829026
76	1.5073219112582275	0.4638643981503832	1.029813729336494	0.5181321824960393	1.0221717052578958	1.1274367615902687	1.0888057946777965	0.22	0.0	0	0	0	0	0.690860118519457
77	1.5428565226101763	0.45594204096052193	1.0580288082698261	0.5312811699771022	0.9668853048759427	1.0990256856644385	1.1414449927116577	0.22	0.02	0	0	0	0	0.7016893756182261
78	1.5580051132374848	0.43054347811950183	1.1143026470661832	0.5392724342710082	0.9182137832240462	1.1804409098280964	1.1536930510246148	0.22	0.04	0	0	0	0	0.7224852595006787
79	1.5472329061949939	0.41361308340926817	1.1818103981376369	0.5588076814984575	0.8452933560748057	1.2726342004456073	1.2353798877888573	0.22	0.06	0	0	0	0	0.7367748602598818
80	1.5760518398330907	0.3916282768455737	1.2381579541883612	0.5923923454830323	0.7449422052195234	1.442728196316214	1.270973532541806	0.22	0.08	0	0	0	0	0.7556780672083933
81	1.5847464630715267	0.3723167329158864	1.3348692949313157	0.621224519617005	0.608898750185066	1.5903702362098748	1.3871809436068523	0.22	0.1	0	0	0	0	0.7738005053609235
82	1.5739191856361459	0.3558273179882413	1.4459235422987582	0.6411501739779598	0.48037302138519494	1.7157216448961452	1.446908106275269	0.22	0.12	0	0	0	0	0.7891812214182604
83	1.5855976156734135	0.33802323917199933	1.505328494052684	0.6587840923587166	0.39655606532448207	1.8575337499431033	1.5126525969333697	0.22	0.14	0	0	0	0	0.8028415092916878
84	1.5898782691223379	0.3251310989824477	1.524870315271964	0.6854697557132833	0.35374433167239216	1.9749475267406196	1.5288709440031083	0.22	0.16	0	0	0	0	0.8109636795998145
85	1.5824445848594426	0.43544558445427123	1.038310550616564	0.48617259535541485	1.036587472727568	1.0945271080069654	1.1258137388458176	0.24	0.0	0	0	0	0	0.7150412395268297
86	1.5817554246091525	0.42729995830398526	1.0834045149400922	0.4904288823831728	0.9912250792872314	1.1231338404770526	1.1455299770420888	0.24	0.02	0	0	0	0	0.7236504450061813
87	1.60704488283891	0.4121846707372195	1.1156419148434418	0.5070122868703744	0.9394002300523268	1.174526843068698	1.1534756737076037	0.24	0.04	0	0	0	0	0.7370324908759209
88	1.6095620290112786	0.3949351478314487	1.1555366792430521	0.5301148110242409	0.8862715881649323	1.2786733248852047	1.2498196959610357	0.24	0.06	0	0	0	0	0.7500437236956438
89	1.59852403615469	0.3762408994367563	1.2403253649223898	0.5633179930345928	0.7636041632488465	1.5117499315505545	1.32942979665285	0.24	0.08	0	0	0	0	0.7659531370695091
