	AA_attr	BB_attr	SS_attr	lambda	d_S	d_AB	AA	AB	BB	AS	BS	SS_inter	SS_intra	d_ratio	AB_compScore	lod_S	MSE	Euc_dist	rank	rank_color	index
48	0.16	0.1	0	110	37	370	1.2466496957525333	0.6338192793738509	1.1913400962011433	0.6840511537301593	0.6206698015713237	0.8765429192197688	1.9655318317855575	10.0	0.5873315921292357	2.972972972972973	0.011807487145468963	0.28749332169336167	59.0	r	1137
49	0.18	0.08	0	110	37	370	1.3421971842984681	0.6359227910951231	1.149802592344055	0.6386610965110722	0.6926803133634629	0.8522866288309969	1.9726024588454936	10.0	0.5933896844798998	2.972972972972973	0.013908195321225421	0.3120214211373603	98.0	r	1144
50	0.12	0.08	0	110	55	550	1.132723256510191	0.6875888010081687	1.1077773069507137	0.7129490537762732	0.6512395897462714	0.8396795237897089	1.931118555911373	10.0	0.5303498524657607	2.0	0.01121392752746624	0.28017404000417967	52.0	r	1298
51	0.14	0.06	0	110	55	550	1.181617379142144	0.6812026981782997	1.0846204329905014	0.6787553525303509	0.7224002786147288	0.8589169442499849	1.9345095241320893	10.0	0.5377666176499454	2.0	0.013240689410763368	0.30444182675076625	82.0	r	1306
52	0.14	0.08	0	110	55	550	1.184848410978261	0.6587796387155196	1.146545420326624	0.7211601914346306	0.6800586073874931	0.9623352343574314	1.9606719351285467	10.0	0.5593702871619525	2.0	0.01950064117225058	0.36946513801136105	225.0	r	1307
53	0.16	0.06	0	110	55	550	1.2759440064758643	0.6548214338521796	1.129840961932885	0.6713942626884711	0.7506094605570413	0.9107882674715015	1.9692440060770906	10.0	0.5720969325762042	2.0	0.018350540362661056	0.3584044957009153	194.0	r	1315
54	0.16	0.08	0	110	55	550	1.2703862835573525	0.6178196003387055	1.1312320400901372	0.6710945822330251	0.6848963493966465	0.9109110250260426	1.9922022865742814	10.0	0.5907717821050127	2.0	0.01730172881659153	0.3480116402020782	169.0	r	1316
55	0.16	0.1	0	110	55	550	1.259209937806936	0.5969862241966952	1.2247542512399923	0.7019264598915003	0.6409168530355327	0.9633336684647824	2.044360826978487	10.0	0.6124661911918353	2.0	0.024543706082750937	0.41449480404373773	389.0	r	1317
56	0.16	0.06	0	110	110	550	1.2222376362886855	0.623662300845207	1.0595207829191793	0.6772054218794197	0.7753374464741427	0.9970942173221564	1.7359366535813014	5.0	0.5706905395554454	1.0	0.023083330018708794	0.4019742655083302	345.0	r	1495
57	0.16	0.08	0	110	110	550	1.2780097968123512	0.6088640831706265	1.1071323225456355	0.6970703770291238	0.7161684660557284	0.9885879361173829	1.8000036616745312	5.0	0.5932780081374547	1.0	0.01910606088849161	0.3657081161519953	210.0	r	1496
58	0.14	0.06	0	110	110	1100	1.2473982167969717	0.6422379316130081	1.1114429508669272	0.6927457305306363	0.7290474029155668	0.9273762925539399	1.9063770147928152	10.0	0.5719953321005422	1.0	0.016189168418653758	0.3366365680234046	150.0	r	1576
59	0.14	0.08	0	110	110	1100	1.2218639150589943	0.5996952154015481	1.1849379623719332	0.7088935951824351	0.6480145702152251	0.9536032620039074	1.9647839113118637	10.0	0.6010671576358889	1.0	0.018526049474384323	0.36011435172829515	197.0	r	1577
60	0.16	0.06	0	110	110	1100	1.3057313186257056	0.5883520301233478	1.115668112474791	0.653365411828263	0.7341959056672505	0.9538044565757487	1.9564312479816055	10.0	0.6090361362369049	1.0	0.021507653179719553	0.3880123351879897	293.0	r	1585
61	0.1	0.04	0	110	110	0	1.1043896036952203	0.7053306060282883	1.0704425260330457	0.7052554226829029	0.7305551371444526	0.8688024894941644	2.100997022241988	0.0	0.5102147546930095	1.0	0.02835886529814494	0.44554691906354216	493.0	r	1647
